pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
AU Mic d,AU Mic,1,1,3,Transit Timing Variations,2023,Multiple Observatories,Published Confirmed,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,12.73596000,0.00793000,-0.00793000,0,,,,,,,,,,,,,1.05300,0.51100,-0.51100,0,0.00331,0.00161,-0.00161,0,Mass,0.003050,0.001040,-0.001040,0,,,,,,,,,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,,3678.00,90.00,-88.00,0,0.74,0.02,-0.02,0,0.51,0.03,-0.03,0,0.230,0.240,-0.300,0,[Fe/H],4.40,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,0.0046250,-0.0046250,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000,7.8403800,0.0007310,-0.0007310,2024-10-03,2023-12,2024-10-03
HIP 116454 b,HIP 116454,1,2,1,Transit,2014,K2,Published Confirmed,0,<a refstr=THYGESEN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168..161T/abstract target=ref>Thygesen et al. 2024</a>,9.10041570,0.00000410,-0.00000450,0,0.079200,0.001100,-0.001000,0,2.469,0.100,-0.091,0,0.220,0.009,-0.008,0,9.70000,1.20000,-1.20000,0,0.03052,0.00378,-0.00378,0,Mass,0.215000,0.056000,-0.094000,0,51.29,2.35,-2.13,0,753,7,-7,0,0,<a refstr=THYGESEN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168..161T/abstract target=ref>Thygesen et al. 2024</a>,,5048.00,79.00,-78.00,0,0.76,0.02,-0.02,0,0.80,0.03,-0.03,0,0.000,0.045,-0.039,0,[Fe/H],4.58,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h35m49.04s,353.9543517,+00d26m40.94s,0.4447043,62.4491000,0.1831000,-0.1820000,10.1900000,0.0300000,-0.0300000,8.0290000,0.0210000,-0.0210000,9.9320800,0.0003470,-0.0003470,2024-10-03,2024-10,2024-10-03
TOI-2714 b,TOI-2714,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MANTOVAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240907520M/abstract target=ref>Mantovan et al. 2024</a>,2.49938700,0.00000400,-0.00000400,0,0.036000,0.002000,-0.002000,0,13.720,0.700,-0.670,0,1.224,0.062,-0.060,0,228.00000,33.00000,-32.00000,0,0.71737,0.10383,-0.10068,0,Mass,0.164000,,,1,,,,,1603,65,-65,0,0,<a refstr=MANTOVAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240907520M/abstract target=ref>Mantovan et al. 2024</a>,,5665.00,115.00,-115.00,0,1.25,0.05,-0.05,0,1.07,0.06,-0.06,0,0.300,0.110,-0.110,0,[Fe/H],4.25,0.27,-0.27,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h05m36.30s,61.4012482,-14d55m36.28s,-14.9267458,597.8730000,7.8860000,-7.6860000,13.4680000,0.1600000,-0.1600000,11.8070000,0.0250000,-0.0250000,13.2544000,0.0002410,-0.0002410,2024-10-03,2024-09,2024-10-03
TOI-2981 b,TOI-2981,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MANTOVAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240907520M/abstract target=ref>Mantovan et al. 2024</a>,3.60150100,0.00000200,-0.00000200,0,0.048000,0.002000,-0.002000,0,13.400,0.420,-0.420,0,1.195,0.037,-0.037,0,638.00000,33.00000,-33.00000,0,2.00737,0.10383,-0.10383,0,Mass,0.035000,,,1,,,,,1358,39,-39,0,0,<a refstr=MANTOVAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240907520M/abstract target=ref>Mantovan et al. 2024</a>,,5940.00,75.00,-75.00,0,1.08,0.03,-0.03,0,1.03,0.06,-0.06,0,-0.110,0.100,-0.100,0,[Fe/H],4.28,0.21,-0.21,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h53m56.97s,163.4873940,-25d31m28.56s,-25.5245988,527.7890000,7.1880000,-7.0010000,13.3610000,0.1030000,-0.1030000,11.7800000,0.0240000,-0.0240000,13.1868000,0.0002600,-0.0002600,2024-10-03,2024-09,2024-10-03
TOI-4562 b,TOI-4562,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=FERMIANO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240906924F/abstract target=ref>Fermiano et al. 2024</a>,225.10640000,0.00015000,-0.00015000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,<a refstr=HEITZMANN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220810854H/abstract target=ref>Heitzmann et al. 2022</a>,F7 V,6096.00,32.00,-32.00,0,1.15,0.05,-0.05,0,1.19,0.06,-0.06,0,0.080,0.060,-0.060,0,[M/H],4.39,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h28m02.41s,112.0100593,-63d31m04.00s,-63.5177788,339.6050000,2.5280000,-2.4910000,12.1400000,0.2170000,-0.2170000,10.6190000,0.0230000,-0.0230000,11.9551000,0.0004210,-0.0004210,2024-10-03,2024-09,2024-10-03
TOI-4914 b,TOI-4914,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MANTOVAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240907520M/abstract target=ref>Mantovan et al. 2024</a>,10.60057000,0.00001000,-0.00001000,0,0.098000,0.003000,-0.003000,0,12.870,0.360,-0.360,0,1.148,0.032,-0.032,0,227.00000,13.00000,-13.00000,0,0.71422,0.04090,-0.04090,0,Mass,0.408000,0.023000,-0.023000,0,,,,,894,20,-20,0,0,<a refstr=MANTOVAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240907520M/abstract target=ref>Mantovan et al. 2024</a>,,5805.00,62.00,-62.00,0,1.00,0.02,-0.02,0,1.03,0.06,-0.06,0,-0.130,0.080,-0.080,0,[Fe/H],4.30,0.14,-0.14,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h38m10.24s,204.5426717,-28d08m34.51s,-28.1429206,299.8900000,3.4760000,-3.3990000,12.2350000,0.0460000,-0.0460000,10.7060000,0.0230000,-0.0230000,12.0997000,0.0002470,-0.0002470,2024-10-03,2024-09,2024-10-03
CoRoT-11 b,CoRoT-11,0,1,1,Transit,2010,CoRoT,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,2.99328197,0.00048569,-0.00048569,0,,,,,21.746,1.718,-1.718,0,1.940,0.153,-0.153,0,,,,,,,,,,,,,,1890.65,,,0,1682,,,0,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,6343.00,111.61,-111.61,0,1.59,0.11,-0.11,0,,,,,,,,,,4.14,0.09,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,655.0370000,24.9470000,-23.2090000,12.8970000,0.1140000,-0.1140000,11.2480000,0.0220000,-0.0220000,12.8410000,0.0003360,-0.0003360,2024-09-30,2017-07,2024-09-30
GJ 806 b,GJ 806,0,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,0.92632390,0.00000080,-0.00000080,0,,,,,1.678,0.076,-0.076,0,0.150,0.007,-0.007,0,,,,,,,,,,,,,,303.55,,,0,1162,,,0,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,3573.00,157.00,-157.00,0,0.43,0.01,-0.01,0,,,,,,,,,,4.80,0.00,0.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m04.73s,311.2697002,+44d30m00.85s,44.5002351,12.0445000,0.0043500,-0.0043500,10.7900000,0.1000000,-0.1000000,6.5330000,0.0160000,-0.0160000,9.8246100,0.0007590,-0.0007590,2024-09-30,2017-07,2024-09-30
Gliese 12 b,Gliese 12,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,12.76147058,0.00004961,-0.00004961,0,,,,,0.971,3.715,-3.715,0,0.087,0.331,-0.331,0,,,,,,,,,,,,,,1.90,,,0,300,,,0,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,3376.00,157.00,-157.00,0,0.27,0.01,-0.01,0,,,,,,,,,,4.96,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h15m49.90s,3.9579137,+13d33m27.42s,13.5576175,12.2100000,0.0130500,-0.0130500,12.6000000,0.0420000,-0.0420000,7.8070000,0.0200000,-0.0200000,11.3963000,0.0017560,-0.0017560,2024-09-30,2017-07,2024-09-30
HAT-P-45 b,HAT-P-45,0,1,1,Transit,2014,HATNet,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,3.12904756,0.00019812,-0.00019812,0,,,,,16.908,0.941,-0.941,0,1.508,0.084,-0.084,0,,,,,,,,,,,,,,1052.24,,,0,1453,,,0,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,5585.00,133.75,-133.75,0,1.45,0.08,-0.08,0,,,,,,,,,,4.11,0.08,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h17m29.58s,274.3732697,-03d22m51.81s,-3.3810594,298.6400000,6.0310000,-5.8010000,12.7830000,0.0800000,-0.0800000,10.2010000,0.0230000,-0.0230000,12.3977000,0.0001910,-0.0001910,2024-09-30,2017-07,2024-09-30
