pl_name,hostname,discoverymethod,pl_rade,pl_masse,pl_orbincl,glat,glon,sy_dist,pl_dens,pl_eqt
"Kepler-705 b","Kepler-705","Transit",2.110,,,13.13184,73.44989,276.8810000,,
"Kepler-705 b","Kepler-705","Transit",2.207,,,13.13184,73.44989,276.8810000,,
"Kepler-705 b","Kepler-705","Transit",,,,13.13184,73.44989,276.8810000,,
"Kepler-705 b","Kepler-705","Transit",1.960,,89.950,13.13184,73.44989,276.8810000,,2.29000000000e+02
"Kepler-705 b","Kepler-705","Transit",,,,13.13184,73.44989,276.8810000,,
"Kepler-705 b","Kepler-705","Transit",2.180,,89.380,13.13184,73.44989,276.8810000,,2.53000000000e+02
"Kepler-705 b","Kepler-705","Transit",1.940,,89.990,13.13184,73.44989,276.8810000,,2.33000000000e+02
"Kepler-705 b","Kepler-705","Transit",1.960,,89.950,13.13184,73.44989,276.8810000,,2.29000000000e+02
"Kepler-705 b","Kepler-705","Transit",2.760,,89.990,13.13184,73.44989,276.8810000,,2.65000000000e+02
"Kepler-705 b","Kepler-705","Transit",,,,13.13184,73.44989,276.8810000,,
"Kepler-705 b","Kepler-705","Transit",1.960,,89.950,13.13184,73.44989,276.8810000,,2.29000000000e+02
"Kepler-283 c","Kepler-283","Transit",2.055,,,13.09313,80.32004,468.0940000,,
"Kepler-283 c","Kepler-283","Transit",2.090,,89.380,13.09313,80.32004,468.0940000,,2.47000000000e+02
"Kepler-283 c","Kepler-283","Transit",2.311,,,13.09313,80.32004,468.0940000,,
"Kepler-283 c","Kepler-283","Transit",38.670,,87.090,13.09313,80.32004,468.0940000,,3.21000000000e+02
"Kepler-283 c","Kepler-283","Transit",,,,13.09313,80.32004,468.0940000,,
"Kepler-283 c","Kepler-283","Transit",1.820,,,13.09313,80.32004,468.0940000,,
"Kepler-283 c","Kepler-283","Transit",38.670,,87.090,13.09313,80.32004,468.0940000,,3.21000000000e+02
"Kepler-283 c","Kepler-283","Transit",32.300,,,13.09313,80.32004,468.0940000,,
"Kepler-283 c","Kepler-283","Transit",1.870,,89.990,13.09313,80.32004,468.0940000,,2.40000000000e+02
"Kepler-283 c","Kepler-283","Transit",38.670,,87.090,13.09313,80.32004,468.0940000,,3.21000000000e+02
